alloc,mu-time,var-time,mu-enrg,var-enrg,ppg-power
1,253.198940,0.512074,19.288720,0.005074,76.180098
2,131.075193,0.080512,10.003732,0.001439,76.320558
3,90.468717,0.087884,6.909025,0.001712,76.369214
4,70.281192,0.042099,5.376030,0.001255,76.493154
5,58.215111,0.043073,4.464158,0.001069,76.683840
6,50.169871,0.026577,3.859576,0.000905,76.930157
7,44.550294,0.033913,3.432789,0.001608,77.054228
8,40.320077,0.022781,3.115765,0.001120,77.275760
9,37.095282,0.034443,2.873452,0.000902,77.461394
10,34.549663,0.036230,2.683046,0.001598,77.657652
11,32.465391,0.041681,2.526505,0.001532,77.821491
12,30.827624,0.035932,2.403330,0.001334,77.960276
13,29.406782,0.033407,2.297605,0.001332,78.131814
14,28.222549,0.027859,2.210429,0.000920,78.321372
15,27.225991,0.037460,2.137308,0.000976,78.502501
16,26.342267,0.035023,2.071376,0.001229,78.633183
17,25.630435,0.035513,2.020529,0.001541,78.833190
18,24.998621,0.059370,1.971815,0.001145,78.876961
19,24.441717,0.034518,1.931917,0.001427,79.041801
20,23.984173,0.042111,1.901340,0.001161,79.274769
21,23.555775,0.047844,1.870595,0.001631,79.411334
22,23.225246,0.054575,1.847306,0.001168,79.538698
23,22.909928,0.053375,1.823927,0.001370,79.612943
24,22.629351,0.107521,1.802532,0.001937,79.654589
25,22.368143,0.048758,1.784264,0.001371,79.768074
26,22.117065,0.086308,1.767343,0.001377,79.908589
27,21.979278,0.043987,1.758754,0.001225,80.018723
28,21.861621,0.048423,1.752177,0.001435,80.148542
29,21.733356,0.066775,1.743481,0.001638,80.221443
30,21.633304,0.077163,1.736867,0.001776,80.286727
31,21.523968,0.065095,1.728372,0.001626,80.299878
32,21.481464,0.070475,1.727850,0.001592,80.434445
